
,"LISTA DE PRECIOS DELTRON"

,"Generada el :"2024-02-01 06:58:16
,"Almacen(es) :,'AREQUIPA'"
,"Almacen(es) :"
,"TIPO DE CAMBIO :3.820"
,"__________________________________"


"_______________","_______________","__________________________________","__________"
"cases, fan","accor9050100","fan corsair dual ql140 rgb, 14cm, 550 - 1250 ±10%rpm, 6v - 13.2v, pwm control.[@@@]fa",5,62.31, ,"","D","corsair"
"cases, fan","accorml140prorg","fan corsair ml140 pro rgb led, 14 cm, 1200 rpm, 13.2 vdc, 4 pines, pwm control.[@@@]a",1,20.10, ,"","D","corsair"
"cases, fan","accorrgb120pro","fan corsair ml120 pro rgb led, 12 cm, 1600 rpm, 13.2 vdc, 4 pines, pwm control.[@@@]p",2,62.31, ,"","D","corsair"
"cases, fan","accorrgb124","fan corsair ll140 rgb, 14 cm, 1300 rpm, 13.2 vdc,4 pines, pwm control.[@@@]pack de 2 ",3,53.27, ,"","D","corsair"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CASES, FUENTE PARA","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cases, fuente para","pste7025n","fuente de alimentación teros te7025n, formato atx, 250w, 115v / 230v.[@@@]",>20,9.65, ,"","D","teros"
"cases, fuente para","pste7026n","fuente de alimentación teros te7026n, formato sfx, 250w, 115v / 230v.[@@@]",>20,10.05, ,"","D","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CASES, FUENTE PARA GAMING","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cases, fuente para gaming","psgbud1000gmpg5","fuente de alimentación gigabyte ud1000gm pg5, 1000w, 80 plus gold certified, formato ",2,157.79, ,"","P","gigabyte"
"cases, fuente para gaming","te7175wgold","fuente de alimentación certificada te7175 f.modular, atx, 750w, 80 plus gold, 100v-24",13,50.25, ,"","D","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","COMPUTADORA CELERON","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"computadora celeron","pcadrvs706005","computadora advance vission vs6070, intel celeronn4020 1.10ghz, 4gb ddr4, ssd 128gb m",1,153.77, ,"","D","advance computer corp"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","COOLER LIQUIDO CPU 120","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cooler liquido cpu 120","accpute8163n","cooler para procesador teros te-8163n, intel y amd, tdp 155w máx, 120mm, líquida[@@@]",>20,31.05, ,"","D","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","COOLER LIQUIDO CPU 240","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cooler liquido cpu 240","accpute8164n","cooler para procesador teros te-8164n, intel y amd, tdp 265w máx, 240mm, líquida[@@@]",>20,45.12, ,"","D","teros"
"cooler liquido cpu 240","acmscorlqk240v2","refrigeracion líquida para cpus msi mpg coreliquid k240 v2 / cantidad de ventiladores",1,169.34, ,"","P","msi"
"cooler liquido cpu 240","acmscorlqp240","refrigeracion líquida de cpu msi mag coreliquid p240 / cantidad de ventiladores: 2[@@",9,68.24, ,"","F","msi"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU AMD ATHLON SAM4","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu amd athlon sam4","cpam4nat3000g","procesador amd athlon 3000g, 3.50ghz, 4mb l3 cache, 2-cores, am4, 14nm, tdp: 35w.[@@@",11,42.16, ,"","P","amd-advanced micro device"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU AMD RYZEN 3 SAM4 3XXX","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu amd ryzen 3 sam4 3xxx","cpam4r33200g","procesador amd ryzen 3 3200g, 3.60ghz, 4mb l3, 4 core, am4, 14nm, 65 w.[@@@]integra v",7,69.35, ,"","P","amd-advanced micro device"
"_______________","_______________","__________________________________","__________"
