Tipo,Nombre,Valor
TXT,_amazonses.agilex.pe,vkXntR0wRC5AqhspSwvIVgCIou/b9lFy3GJ0hQoG+yw=
TXT,agilex.pe,amazonses:vkXntR0wRC5AqhspSwvIVgCIou/b9lFy3GJ0hQoG+yw=
