Tipo,Nombre,Valor
CNAME,2bsqy74apsq2psmikuqgouf4rvsjfmgf._domainkey.agilex.pe,2bsqy74apsq2psmikuqgouf4rvsjfmgf.dkim.amazonses.com
CNAME,kpi7lqpx7ns7ynn4ogeyn4lhwkkgdusw._domainkey.agilex.pe,kpi7lqpx7ns7ynn4ogeyn4lhwkkgdusw.dkim.amazonses.com
CNAME,7wgdgtscnsada3ijhptw7sr32fehdlox._domainkey.agilex.pe,7wgdgtscnsada3ijhptw7sr32fehdlox.dkim.amazonses.com
